ID,スキー場名（日本語）,都道府県,地域（Region）,公式英語名称 (Official English Name)
1,今金町種川スキー場,北海道,hokkaido,Imakane-cho Tanekawa Ski Area
2,上ノ国町民スキー場,北海道,hokkaido,Kaminokuni Chomin Ski Area
3,太鼓山スキー場,北海道,hokkaido,Taikoyama Ski Area
4,大成スキー場,北海道,hokkaido,Taisei Ski Area
5,富岡スキー場,北海道,hokkaido,Tomioka Ski Area
6,丹羽スキー場,北海道,hokkaido,Niwa Ski Area
7,ピリカスキー場,北海道,hokkaido,Pirika Ski Area
8,旭ヶ丘スキー場,北海道,hokkaido,Asahigaoka Ski Area
9,朝里川温泉スキー場,北海道,hokkaido,Asarigawa Onsen Ski Area
10,IWANAI RESORT,北海道,hokkaido,IWANAI RESORT
11,小樽天狗山スキー場,北海道,hokkaido,Otaru Tenguyama Ski Area
12,キロロスノーワールド,北海道,hokkaido,KIRORO Snow World
13,積丹町野外スポーツ林スキー場,北海道,hokkaido,Shakotan-cho Yagai Sports-rin Ski Area
14,スノークルーズ・オーンズ,北海道,hokkaido,Snow Cruise Onze
15,中山峠スキー場,北海道,hokkaido,Nakayamatoge Ski Area
16,コンサドーレ仁木スキーパーク,北海道,hokkaido,Consadole Niki Ski Park
17,ニセコアンヌプリ国際スキー場,北海道,hokkaido,Niseko Annupuri International Ski Area
18,ニセコ東急 グラン・ヒラフ,北海道,hokkaido,Niseko Tokyu Grand HIRAFU
19,ニセコHANAZONOリゾート,北海道,hokkaido,Niseko HANAZONO Resort
20,ニセコビレッジスキーリゾート,北海道,hokkaido,Niseko Village Ski Resort
21,ニセコモイワスキー場,北海道,hokkaido,Niseko Moiwa Ski Resort
22,ルスツリゾート,北海道,hokkaido,Rusutsu Resort
23,岩見沢萩の山市民スキー場,北海道,hokkaido,Iwamizawa Haginoyama Shimin Ski Area
24,桂沢国設スキー場,北海道,hokkaido,Katsurazawa Kokusetsu Ski Area
25,かもい岳国際スキー場,北海道,hokkaido,Kamoidake Kokusai Ski Area
26,M's resort Ashibetsu,北海道,hokkaido,M's Resort Ashibetsu
27,そっち岳スキー場,北海道,hokkaido,Socchidake Ski Area
28,長沼スキー場,北海道,hokkaido,Naganuma Ski Area
29,沼田町営高穂スキー場,北海道,hokkaido,Numata Choei Takaho Ski Area
30,美唄国設スキー場,北海道,hokkaido,Bibai Kokusetsu Ski Area
31,北海道グリーンランドホワイトパーク,北海道,hokkaido,Hokkaido Greenland White Park
32,マウントレースイ,北海道,hokkaido,Yubari Resort Mount Racey
33,旭岳スキーコース,北海道,hokkaido,Asahidake Ski Course
34,伊ノ沢市民スキー場,北海道,hokkaido,Inosawa Shimin Ski Area
